familymebers,location,infection,impact,familyreunion,familyrelationship,post,search,optimism,mediatime1,mediatime2,mediatime3,mediatime4,mediatime5,mediatimetotal,mediacontent1,mediacontent2,mediacontent3,mediacontent4,mediacontent5,mediacontent6,panas1,panas2,panas3,panas4,panas5,panas6,panas7,panas8,panas9,panas10,panas11,panas12,panas13,panas14,panas15,panas16,panas17,panas18,panas19,panas20,deathanxiety1,deathanxiety2,deathanxiety3,deathanxiety4,meaninginlife1,meaninginlife2,meaninginlife3,meaninginlife4,empathy1,empathy2,sympathy1,sympathy2,dass1,dass2,dass3,dass4,dass5,dass6,dass7,dass8,dass9,dass10,dass11,dass12,dass13,dass14,dass15,dass16,dass17,dass18,dass19,dass20,dass21,PA,NA,DA,ML,DEP,ANX,STR,NEW,TRA,EMP,SYM
3,Gansu,0,3,1,4,1,3,2,3,3,2,3,3,14,3,3,3,4,3,4,3,4,4,4,4,4,4,2,3,2,4,3,4,4,4,4,4,3,4,4,4,4,4,4,5,2,2,3,4,4,4,2,3,3,3,1,1,2,3,4,4,3,3,2,3,3,3,3,3,3,2,2,1,35.00,37.00,18.00,15.00,17.00,18.00,20.00,2.75,3.00,8.00,6.00
5,Tianjin,0,4,1,5,1,4,3,1,1,1,5,1,9,5,5,5,5,3,3,3,3,3,4,2,2,3,2,2,1,3,4,2,2,4,3,3,4,3,3,3,4,2,2,7,7,7,7,3,3,5,5,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26.00,30.00,15.00,35.00,9.00,7.00,8.00,2.00,1.00,6.00,10.00
5,Shanghai,0,4,0,4,1,4,4,3,3,1,1,3,11,5,4,5,4,4,4,4,3,4,2,3,1,1,1,3,4,2,4,2,4,4,3,4,2,4,2,1,2,2,2,6,5,6,6,4,4,4,4,2,2,1,1,1,2,1,2,2,1,2,1,2,3,1,1,1,2,2,1,1,37.00,20.00,9.00,29.00,8.00,10.00,14.00,2.00,3.00,8.00,8.00
3,Gansu,0,3,1,5,1,3,2,0,11,9,7,10,37,4,4,4,4,3,3,4,2,4,2,4,2,2,2,4,3,2,4,2,3,3,3,4,3,4,2,4,4,3,4,6,6,6,6,4,4,4,5,2,2,1,1,2,2,1,2,3,2,2,2,2,3,2,1,1,2,1,1,1,37.00,22.00,19.00,29.00,10.00,11.00,15.00,9.25,0.00,8.00,9.00
4,Shanghai,0,3,1,5,1,3,4,4,1,1,3,2,11,1,2,1,1,1,1,1,2,1,1,1,3,2,2,3,2,2,2,3,3,2,1,1,1,1,1,2,4,3,1,1,3,2,1,1,2,2,4,2,1,3,4,3,1,1,1,1,4,1,1,3,3,2,2,2,1,1,1,1,16.00,19.00,14.00,14.00,18.00,11.00,10.00,1.75,4.00,3.00,6.00
5,Guizhou,0,4,1,5,1,4,2,4,10,4,0,0,18,4,4,3,4,3,2,3,2,3,2,2,1,3,1,2,1,1,3,3,2,1,2,4,2,3,4,3,5,5,5,5,6,5,7,5,5,5,5,2,3,1,1,2,2,1,2,3,1,2,2,2,2,2,1,1,2,2,1,1,25.00,20.00,23.00,29.00,9.00,13.00,14.00,3.50,4.00,10.00,10.00
3,Liaoning,0,3,1,5,0,4,4,1,1,1,0,2,5,5,5,3,4,2,3,4,3,4,1,4,1,2,1,4,3,1,4,1,3,3,3,4,1,4,1,2,4,1,1,7,7,7,7,1,2,5,3,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,37.00,15.00,9.00,35.00,8.00,8.00,8.00,1.00,1.00,3.00,8.00
3,Guizhou,0,3,1,4,0,2,3,1,3,1,0,1,6,4,4,4,4,4,4,3,2,3,2,2,3,3,3,3,3,3,3,2,4,2,2,4,2,2,2,2,2,4,4,5,4,4,4,3,4,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,29.00,24.00,15.00,21.00,13.00,14.00,15.00,1.25,1.00,7.00,10.00
4,Tianjin,0,4,1,3,0,2,3,1,1,1,1,0,4,4,4,3,4,3,4,2,2,3,2,3,1,2,1,2,2,2,1,1,3,1,3,2,2,3,2,1,2,2,2,6,4,5,5,4,2,4,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24.00,16.00,9.00,26.00,8.00,7.00,7.00,0.75,1.00,6.00,9.00
4,Shanxi,0,3,1,5,0,4,1,1,6,6,6,4,23,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30.00,30.00,15.00,17.00,14.00,14.00,14.00,5.50,1.00,6.00,6.00
3,Tianjin,0,4,1,5,1,4,4,2,1,1,0,1,5,4,5,3,3,5,5,3,3,2,3,2,2,2,2,2,2,2,3,1,3,4,3,2,2,2,3,4,5,4,4,7,5,5,5,3,4,5,3,1,1,3,1,3,2,1,2,2,1,2,3,2,2,1,2,1,2,1,1,1,24.00,24.00,21.00,26.00,13.00,8.00,14.00,0.75,2.00,7.00,8.00
3,Liaoning,0,2,1,4,0,3,2,1,1,0,1,0,3,4,4,4,4,4,4,4,2,4,2,4,2,3,2,2,2,2,4,2,2,2,2,2,2,2,2,4,4,2,2,5,5,6,3,4,2,4,4,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,28.00,21.00,14.00,25.00,8.00,8.00,8.00,0.50,1.00,6.00,8.00
5,Hebei,0,3,1,5,0,2,4,2,2,1,1,1,7,3,3,3,4,2,3,4,2,4,4,4,2,1,1,4,3,2,2,2,4,2,3,4,2,4,2,1,1,1,1,7,7,7,7,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36.00,20.00,6.00,35.00,7.00,7.00,7.00,1.25,2.00,2.00,8.00
